date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-05-12,-0.021880242907145853,0.24019925,10,0.09372947
2020-05-13,-0.017214505164358518,0.2897119,2,0.24019925
2020-05-14,0.014937477334332261,0.16199361,11,0.2897119
2020-05-15,0.011651363388277991,0.41344288,2,0.16199361
2020-05-18,0.03784200046752284,0.2223428,7,0.41344288
2020-05-19,-0.0035877670740918077,0.058557626,7,0.2223428
2020-05-20,0.013063348163902866,0.21614635,6,0.058557626
2020-05-21,0.003554189086129922,0.39975774,6,0.21614635
2020-05-22,-0.0014826210400910034,0.2573352,5,0.39975774
2020-05-26,0.01583755798720321,0.24191399,8,0.2573352
2020-05-27,0.017133542707025162,0.10658668,7,0.24191399
2020-05-28,-0.01213472529997528,0.06303089,6,0.10658668
2020-05-29,0.003636598297200422,0.16347642,4,0.06303089
2020-06-01,0.009501637284151654,0.049057193,10,0.16347642
2020-06-02,0.008534951650163158,0.15447186,9,0.049057193
2020-06-03,0.01890207440680003,-0.070972145,6,0.15447186
2020-06-04,-0.005045567071335744,0.17076693,10,-0.070972145
2020-06-05,0.023950708022953293,-0.0041587297,11,0.17076693
2020-06-08,0.015238388827256033,0.40838933,6,-0.0041587297
2020-06-09,-0.007805062086387871,0.45393744,7,0.40838933
2020-06-10,-0.009379294499034851,0.22946973,11,0.45393744
2020-06-11,-0.05237804907760224,0.40836328,7,0.22946973
2020-06-12,0.009910379349501675,0.10922087,12,0.40836328
2020-06-15,0.0094942058206553,0.06571483,18,0.10922087
2020-06-16,0.021022670244975616,0.6320154,6,0.06571483
2020-06-17,-0.002631746803493762,-0.17822504,10,0.6320154
2020-06-18,-0.0036475242017774967,0.3055058,9,-0.17822504
2020-06-19,-0.0077895237864442635,0.15279359,9,0.3055058
2020-06-22,0.010276646177836302,0.03937994,17,0.15279359
2020-06-23,0.007866528375514603,0.14660637,12,0.03937994
2020-06-24,-0.022024346806935657,0.17837445,12,0.14660637
2020-06-25,0.0013432524847403204,0.2647756,16,0.17837445
2020-06-26,-0.02343767075091341,0.025494844,2,0.2647756
2020-06-29,0.018990189421481674,0.5925158,2,0.025494844
2020-06-30,0.012767464119060268,0.84879243,2,0.5925158
2020-07-01,0.010100887982756435,0.2036153,3,0.84879243
2020-07-02,0.003953532878510302,-0.12348746,7,0.2036153
2020-07-06,0.023704967702082858,-0.10864355,14,-0.12348746
2020-07-07,-0.01568887082150361,-0.03560941,12,-0.10864355
2020-07-08,0.010651285894010876,0.24287543,10,-0.03560941
2020-07-09,-0.001137104141396783,-0.01498778,9,0.24287543
2020-07-10,0.011917240522713701,0.17315297,8,-0.01498778
2020-07-13,-0.01267723218102268,0.4037299,8,0.17315297
2020-07-14,0.0099530801676333,0.27006388,12,0.4037299
2020-07-15,0.01429310406763018,-0.17745866,15,0.27006388
2020-07-16,-0.0026698018786244226,-0.035374448,8,-0.17745866
2020-07-17,-0.004685222662599964,-0.016181653,10,-0.035374448
2020-07-20,0.01598911573687012,-0.011608202,8,-0.016181653
2020-07-21,0.001544554937577436,0.27013415,7,-0.011608202
2020-07-22,0.00859082089767682,-0.035485484,10,0.27013415
2020-07-23,-0.014996964522047462,0.17360142,16,-0.035485484
2020-07-24,0.0017737240145667688,0.08192977,8,0.17360142
2020-07-27,0.006197453234611849,0.029603252,10,0.08192977
2020-07-28,-0.009898757534536728,0.05048853,14,0.029603252
2020-07-29,0.01014566146487561,0.019684808,12,0.05048853
2020-07-30,-0.0008066003057426441,0.2130587,11,0.019684808
2020-07-31,0.005209761575859506,0.42780375,1,0.2130587
2020-08-03,-0.0021168825917893264,0.043669816,6,0.42780375
2020-08-04,0.008046431761638662,0.13340382,14,0.043669816
2020-08-05,0.012190506110903554,-0.14201708,8,0.13340382
2020-08-06,0.0048751464751981555,0.22792691,13,-0.14201708
2020-08-07,0.001497930083423471,0.2854903,12,0.22792691
2020-08-10,0.01196778490189132,0.04939841,4,0.2854903
2020-08-11,-0.001971116509994375,-0.14257377,9,0.04939841
2020-08-12,0.01326002416669736,-0.016593533,7,-0.14257377
2020-08-13,-0.00041793115215815746,0.017157122,8,-0.016593533
2020-08-14,-6.961041886188735e-05,-0.12492345,8,0.017157122
2020-08-17,0.012884034049402526,-0.18818623,11,-0.12492345
2020-08-18,0.006188085085239603,0.11178353,6,-0.18818623
2020-08-19,-0.004715144882207811,0.29938495,4,0.11178353
2020-08-20,-0.001510530271312982,-0.09790506,6,0.29938495
2020-08-21,0.00515727556192358,0.11438393,7,-0.09790506
2020-08-24,0.015186427035559724,0.5219014,6,0.11438393
2020-08-25,0.0033023014106214887,0.37864876,12,0.5219014
2020-08-26,0.00987322726586104,0.33885404,8,0.37864876
2020-08-27,-0.005387167533828174,0.13593525,11,0.33885404
2020-08-28,0.006553066974560373,0.07126428,5,0.13593525
2020-09-01,0.010460292534827165,0.028668346,6,0.07126428
2020-09-02,0.013846652295700368,0.22225262,6,0.028668346
2020-09-03,-0.03173747077879796,0.12821683,13,0.22225262
2020-09-04,-0.011553179414960812,0.25936604,9,0.12821683
2020-09-08,-0.013115211575185026,0.24290618,8,0.25936604
2020-09-09,0.018867078742850873,0.28268427,7,0.24290618
2020-09-10,-0.014327275113393267,0.18539713,11,0.28268427
2020-09-11,0.0015086768563470354,0.21903078,7,0.18539713
2020-09-14,0.01061075623146146,0.10241009,8,0.21903078
2020-09-15,0.008196723962936803,0.214971,9,0.10241009
2020-09-16,-0.005576558646644414,0.09607041,16,0.214971
2020-09-17,-0.014054208459842621,0.07616482,7,0.09607041
2020-09-18,-0.013911590122905215,0.2945358,9,0.07616482
2020-09-21,-0.01444447308304253,0.1544038,6,0.2945358
2020-09-22,0.0211291974898542,0.23506768,9,0.1544038
2020-09-23,-0.016401376681514312,0.21410413,5,0.23506768
2020-09-24,-0.0004222022979293305,0.18475097,3,0.21410413
2020-09-25,0.013021688429107448,0.24423902,7,0.18475097
2020-09-28,0.020914220177613796,0.20567629,15,0.24423902
2020-09-29,-0.007758702325362132,0.46455115,7,0.20567629
2020-10-01,0.013063039016104616,0.30722818,6,0.46455115
2020-10-02,-0.004231137781910976,0.31033957,8,0.30722818
2020-10-05,0.013219342247711374,0.52802515,3,0.31033957
2020-10-06,-0.018504838563193737,0.56109834,11,0.52802515
2020-10-07,0.022855227889257534,0.061524067,9,0.56109834
2020-10-08,0.006563894420789751,0.35428965,4,0.061524067
2020-10-09,0.01040767200923809,0.35225794,16,0.35428965
2020-10-12,0.013299464411693274,0.43358317,5,0.35225794
2020-10-13,-0.00019324180967938975,0.5124273,8,0.43358317
2020-10-14,-0.01106822151283926,0.41815597,10,0.5124273
2020-10-15,0.0037091673008293746,0.5559151,9,0.41815597
2020-10-16,-0.009075645827702039,0.63480794,6,0.5559151
2020-10-19,-0.01230032968113226,0.6140264,5,0.63480794
2020-10-20,0.008015049970704569,0.3270797,10,0.6140264
2020-10-21,-0.005454203301913374,0.64123166,10,0.3270797
2020-10-22,0.002048422916897996,0.42650306,6,0.64123166
2020-10-23,0.008769611972292868,0.0789668,7,0.42650306
2020-10-26,-0.019216889284604854,0.77349544,2,0.0789668
2020-10-27,-0.0004667114783077908,0.38967285,9,0.77349544
2020-10-28,-0.031603781227955485,0.17380027,7,0.38967285
2020-10-29,0.0063341244062715685,0.2275576,4,0.17380027
2020-10-30,-0.021825484150744368,0.39158887,7,0.2275576
2020-11-02,0.007134491593456138,0.19908686,6,0.39158887
2020-11-03,0.022015304087918297,0.36490786,15,0.19908686
2020-11-04,0.021269295333976812,-0.118068084,9,0.36490786
2020-11-05,0.019495862369913297,-0.14907886,6,-0.118068084
2020-11-06,-0.003002323115151251,-0.13503462,6,-0.14907886
2020-11-09,-0.003273072776818431,-0.22706218,5,-0.13503462
2020-11-10,-0.003546493257051919,0.45367187,4,-0.22706218
2020-11-11,0.008766037848044084,0.1281421,7,0.45367187
2020-11-12,-0.01339428503586515,0.20132765,8,0.1281421
2020-11-13,0.01622508444253512,0.10932279,8,0.20132765
2020-11-16,0.013098631830277707,0.31450525,5,0.10932279
2020-11-17,-0.0042453912136380945,0.36358103,11,0.31450525
2020-11-18,-0.006847319870515123,0.06901558,10,0.36358103
2020-11-19,0.004943348511132317,0.19960779,11,0.06901558
2020-11-20,-0.005242868981631399,0.1410193,5,0.19960779
2020-11-23,0.010996247565785433,0.102616474,9,0.1410193
2020-11-24,0.014866925904572614,0.21065925,11,0.102616474
2020-11-25,0.0012049811663146226,-0.45554465,7,0.21065925
2020-11-27,0.0021530356535097717,0.095135845,10,-0.45554465
2020-12-01,0.007439841476765352,0.12551422,4,0.095135845
2020-12-02,-0.0062486064525857365,0.5336406,4,0.12551422
2020-12-03,0.002794733004735539,-0.008086764,18,0.5336406
2020-12-04,0.0009497059281871056,0.24748044,10,-0.008086764
2020-12-07,-0.0022779356941486917,0.20874399,3,0.24748044
2020-12-08,-0.002093143790556695,0.14254558,5,0.20874399
2020-12-09,-0.0009531676875548234,0.0071983575,10,0.14254558
2020-12-10,-0.0008904180528925831,0.49186835,6,0.0071983575
2020-12-11,-0.004775749335307999,0.109373726,7,0.49186835
2020-12-14,0.0014713769970902124,0.5334627,5,0.109373726
2020-12-15,0.013479864526565022,0.15481679,19,0.5334627
2020-12-16,0.006555621458416594,0.117214814,10,0.15481679
2020-12-17,0.006826455948530041,0.50170034,10,0.117214814
2020-12-18,-0.004851673623880504,-0.02972193,8,0.50170034
2020-12-21,-0.011296903728471586,-0.054206435,8,-0.02972193
2020-12-22,-0.004306469876550478,0.20285693,7,-0.054206435
2020-12-23,0.002162648731893091,0.03748222,9,0.20285693
2020-12-24,0.002094786972129725,0.17832229,7,0.03748222
2020-12-28,0.011400691862089918,0.84920853,1,0.17832229
2020-12-29,0.000313149239838717,0.40201676,4,0.84920853
2020-12-30,0.006010404535808256,0.341139,5,0.40201676
