date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-01-03,-0.016145056707905003,0.19777624,7,
2020-01-06,-0.004353716607032321,0.15818897,4,0.19777624
2020-01-07,-0.0011771497628191296,0.20559387,7,0.15818897
2020-01-08,0.0035358997889280985,0.011573769,6,0.20559387
2020-01-09,0.003691292632453047,0.7045032,5,0.011573769
2020-01-10,-0.004012041998884719,0.11152999,5,0.7045032
2020-01-13,0.01292378902218605,0.2702224,7,0.11152999
2020-01-14,-0.004142289331693472,0.115942396,14,0.2702224
2020-01-15,0.006821728503417779,0.025699848,12,0.115942396
2020-01-16,0.005949367993821841,0.41533196,6,0.025699848
2020-01-17,0.004435953493155065,0.21260902,14,0.41533196
2020-01-21,-0.010795086137782794,0.41485783,14,0.21260902
2020-01-22,-0.003967976515450111,-0.017403007,8,0.41485783
2020-01-23,-0.0011621207523117016,0.39173558,12,-0.017403007
2020-01-24,-0.007146528724642165,0.46279612,6,0.39173558
2020-01-27,-0.021593405639813712,0.28252092,7,0.46279612
2020-01-28,0.011291606500179574,0.05526908,15,0.28252092
2020-01-29,0.003214090740803588,0.32035208,13,0.05526908
2020-01-30,-0.00623931984557291,0.1360288,8,0.32035208
2020-01-31,-0.022060042895779897,0.6365538,5,0.1360288
2020-02-03,0.020996032875030712,0.115906894,6,0.6365538
2020-02-04,0.017675027325066317,0.37970948,10,0.115906894
2020-02-05,0.0185370112383878,0.05719734,7,0.37970948
2020-02-06,-0.0004919373346438105,0.23834026,8,0.05719734
2020-02-07,-0.014271447195954634,0.25095347,4,0.23834026
2020-02-10,-0.0004993052648150087,0.22752142,12,0.25095347
2020-02-11,0.0054943169679178006,0.27178034,11,0.22752142
2020-02-12,0.005464507236242033,0.1534178,10,0.27178034
2020-02-13,-0.0036229941128373966,0.14655036,10,0.1534178
2020-02-14,0.00016514194807304428,0.29172018,9,0.14655036
2020-02-18,-0.002478985935302047,0.42301422,8,0.29172018
2020-02-19,0.00265088453317075,-0.40846524,7,0.42301422
