date,return,sentiment_mean,n_tweets,sentiment_lag1
2020-01-03,-0.006450210896408515,0.19777624,7,
2020-01-06,0.013355633447870163,0.15818897,4,0.19777624
2020-01-07,0.0012813930985438038,0.20559387,7,0.15818897
2020-01-08,0.007129780175114897,0.011573769,6,0.20559387
2020-01-09,0.0052640507897137034,0.7045032,5,0.011573769
2020-01-10,-0.0039727371332497485,0.11152999,5,0.7045032
2020-01-13,0.00942722056167189,0.2702224,7,0.11152999
2020-01-14,-0.002514096346996064,0.115942396,14,0.2702224
2020-01-15,0.004861130302010297,0.025699848,12,0.115942396
2020-01-16,0.0077050299853391735,0.41533196,6,0.025699848
2020-01-17,0.007823256772126141,0.21260902,14,0.41533196
2020-01-21,-0.0008822379689976678,0.41485783,14,0.21260902
2020-01-22,-0.0005295398814880725,-0.017403007,8,0.41485783
2020-01-23,-0.004063759804863176,0.39173558,12,-0.017403007
2020-01-24,-0.012063077205966666,0.46279612,6,0.39173558
2020-01-27,-0.015622299788580096,0.28252092,7,0.46279612
2020-01-28,0.01149234901585694,0.05526908,15,0.28252092
2020-01-29,-0.001623079653609305,0.32035208,13,0.05526908
2020-01-30,-0.010115677706818094,0.1360288,8,0.32035208
2020-01-31,-0.016240859425866838,0.6365538,5,0.1360288
2020-02-03,0.01187180702141255,0.115906894,6,0.6365538
2020-02-04,0.010448805549596374,0.37970948,10,0.115906894
2020-02-05,0.0016330165185789447,0.05719734,7,0.37970948
2020-02-06,0.012497703392587045,0.23834026,8,0.05719734
2020-02-07,-0.000715609710643661,0.25095347,4,0.23834026
2020-02-10,0.005907539179923926,0.22752142,12,0.25095347
2020-02-11,-0.001067659669500065,0.27178034,11,0.22752142
2020-02-12,0.013005537137346534,0.1534178,10,0.27178034
2020-02-13,0.00017577563745407865,0.14655036,10,0.1534178
2020-02-14,0.0012307090744427818,0.29172018,9,0.14655036
2020-02-18,0.006673911854584436,0.42301422,8,0.29172018
2020-02-19,0.004535880154371785,-0.40846524,7,0.42301422
2020-02-20,-0.010246541196787806,0.4191155,14,-0.40846524
