Adj Close,Close,High,Low,Open,Volume
XLY,XLY,XLY,XLY,XLY,XLY
174.5275115966797,177.14999389648438,178.3300018310547,176.47000122070312,178.25,7684800
171.00054931640625,173.57000732421875,176.05999755859375,173.5,175.97000122070312,7761400
169.798583984375,172.35000610351562,174.49000549316406,172.2899932861328,172.8699951171875,5957500
170.06459045410156,172.6199951171875,174.02999877929688,171.83999633789062,171.91000366210938,6042200
172.9610595703125,175.55999755859375,175.75999450683594,172.8800048828125,172.9199981689453,4071300
172.32069396972656,174.91000366210938,175.16000366210938,173.8300018310547,174.27999877929688,4165000
173.699951171875,176.30999755859375,176.74000549316406,175.13999938964844,175.17999267578125,3812200
173.47337341308594,176.0800018310547,176.6699981689453,174.24000549316406,176.11000061035156,4296000
171.384765625,173.9600067138672,176.14999389648438,173.6300048828125,175.35000610351562,3722200
171.1876983642578,173.75999450683594,174.44000244140625,172.39999389648438,172.91000366210938,4488100
169.69021606445312,172.24000549316406,172.3000030517578,170.9600067138672,171.92999267578125,3980900
170.6557159423828,173.22000122070312,173.42999267578125,171.32000732421875,173.05999755859375,4963000
172.30096435546875,174.88999938964844,175.24000549316406,172.4499969482422,173.49000549316406,4891400
171.54237365722656,174.1199951171875,175.77000427246094,173.33999633789062,175.27000427246094,5592100
171.1286163330078,173.6999969482422,174.8699951171875,172.82000732421875,174.2899932861328,3553600
170.4783477783203,173.0399932861328,175.02999877929688,172.91000366210938,174.85000610351562,4311100
168.37005615234375,170.89999389648438,171.5500030517578,169.72000122070312,171.41000366210938,5546400
169.1385040283203,171.67999267578125,172.5500030517578,171.02999877929688,171.6300048828125,3488900
171.61134338378906,174.19000244140625,174.22000122070312,171.72999572753906,172.02999877929688,3690600
171.51283264160156,174.08999633789062,174.9199981689453,173.75999450683594,174.47999572753906,3137200
168.38975524902344,170.9199981689453,173.91000366210938,170.77000427246094,172.97999572753906,6831900
