Adj Close,Close,High,Low,Open,Volume
SPY,SPY,SPY,SPY,SPY,SPY
462.6103820800781,472.6499938964844,473.6700134277344,470.489990234375,472.1600036621094,123623700
458.8323974609375,468.7900085449219,471.19000244140625,468.1700134277344,470.42999267578125,103585900
457.3544921875,467.2799987792969,470.9599914550781,467.04998779296875,468.29998779296875,84232200
457.9808654785156,467.9200134277344,470.44000244140625,466.42999267578125,467.489990234375,86118900
464.51898193359375,474.6000061035156,474.75,468.29998779296875,468.42999267578125,74879100
463.8143005371094,473.8800048828125,474.92999267578125,471.3500061035156,471.8699951171875,65931400
466.4373474121094,476.55999755859375,477.45001220703125,473.8699951171875,474.1600036621094,67310600
466.2318115234375,476.3500061035156,478.1199951171875,472.260009765625,477.5899963378906,77940700
466.5547790527344,476.67999267578125,478.6000061035156,475.2300109863281,477.8399963378906,58026400
464.8419189453125,474.92999267578125,476.6099853515625,473.05999755859375,475.260009765625,85014900
462.2580261230469,472.2900085449219,472.7900085449219,469.8699951171875,471.82000732421875,68843900
466.3688049316406,476.489990234375,477.05999755859375,472.4200134277344,474.010009765625,91856200
472.1826171875,482.42999267578125,482.7200012207031,476.5400085449219,477.6499938964844,110834500
473.1809997558594,483.45001220703125,485.2200012207031,482.7799987792969,484.010009765625,75844900
474.5610656738281,484.8599853515625,485.1099853515625,482.8900146484375,484.010009765625,49945300
475.07977294921875,485.3900146484375,488.7699890136719,484.8800048828125,487.80999755859375,81765000
477.66375732421875,488.0299987792969,488.30999755859375,485.3900146484375,487.5799865722656,72525000
477.056884765625,487.4100036621094,489.1199951171875,486.5400085449219,487.5899963378906,76641600
480.8348693847656,491.2699890136719,491.4200134277344,487.1700134277344,487.7300109863281,61322800
480.46295166015625,490.8900146484375,491.6199951171875,490.1099853515625,490.55999755859375,58618400
472.62310791015625,482.8800048828125,489.0799865722656,482.8599853515625,488.6199951171875,126011100
