Adj Close,Close,High,Low,Open,Volume
XLK,XLK,XLK,XLK,XLK,XLK
185.29139709472656,187.44000244140625,190.16000366210938,186.25,189.86000061035156,11772700
183.40328979492188,185.52999877929688,186.75,185.1999969482422,185.72999572753906,9095000
182.0588836669922,184.1699981689453,185.6699981689453,183.99000549316406,184.38999938964844,6063600
182.0094451904297,184.1199951171875,185.7100067138672,183.4199981689453,184.3800048828125,8175300
186.5764923095703,188.74000549316406,188.8699951171875,184.86000061035156,185.0500030517578,8217300
186.87303161621094,189.0399932861328,189.5800018310547,186.88999938964844,187.2899932861328,5316900
188.46458435058594,190.64999389648438,191.05999755859375,188.72999572753906,189.1300048828125,4892700
189.42347717285156,191.6199951171875,192.5500030517578,188.92999267578125,191.58999633789062,6648300
190.03639221191406,192.24000549316406,192.67999267578125,191.27999877929688,191.92999267578125,4417300
190.5108642578125,192.72000122070312,193.52999877929688,190.88999938964844,192.0,5887800
189.57176208496094,191.77000427246094,192.0,189.69000244140625,191.2899932861328,7054500
193.4171600341797,195.66000366210938,195.83999633789062,193.60000610351562,194.3300018310547,9459400
197.87545776367188,200.1699981689453,200.2100067138672,196.50999450683594,196.94000244140625,9166600
198.7454071044922,201.0500030517578,202.27999877929688,200.2899932861328,201.14999389648438,7484500
199.54611206054688,201.86000061035156,201.99000549316406,200.07000732421875,201.24000549316406,6631900
200.920166015625,203.25,205.2899932861328,202.6699981689453,203.25,8825600
201.76043701171875,204.10000610351562,206.14999389648438,203.16000366210938,205.1199951171875,8535700
199.43736267089844,201.75,203.57000732421875,201.2899932861328,202.6699981689453,5276500
201.26617431640625,203.60000610351562,203.63999938964844,201.60000610351562,202.0,3819800
199.6053924560547,201.9199981689453,203.83999633789062,201.3000030517578,203.52999877929688,6125800
195.41400146484375,197.67999267578125,200.82000732421875,197.5800018310547,200.0,8147600
