Adj Close,Close,High,Low,Open,Volume
XLV,XLV,XLV,XLV,XLV,XLV
134.82098388671875,138.77999877929688,139.0500030517578,135.97000122070312,136.0399932861328,11785900
134.5975341796875,138.5500030517578,139.52999877929688,138.3800048828125,139.24000549316406,9585000
135.26785278320312,139.24000549316406,140.0,138.74000549316406,138.97999572753906,11649200
135.15127563476562,139.1199951171875,139.6999969482422,138.52999877929688,138.9199981689453,9437700
136.34620666503906,140.35000610351562,140.3800048828125,138.58999633789062,139.16000366210938,7999400
136.32675170898438,140.3300018310547,141.55999755859375,139.8699951171875,140.1999969482422,9201300
136.94851684570312,140.97000122070312,141.13999938964844,139.8800048828125,140.41000366210938,9773300
136.85134887695312,140.8699951171875,141.02999877929688,140.0,140.7899932861328,7182300
136.51133728027344,140.52000427246094,141.16000366210938,140.0500030517578,140.47999572753906,8026400
135.69528198242188,139.67999267578125,140.36000061035156,139.4600067138672,140.1699981689453,7426900
135.42327880859375,139.39999389648438,140.08999633789062,139.00999450683594,139.4499969482422,8337200
135.40386962890625,139.3800048828125,139.50999450683594,137.52000427246094,138.1999969482422,8929300
135.48159790039062,139.4600067138672,139.82000732421875,138.69000244140625,139.4600067138672,8842000
136.0741729736328,140.07000732421875,140.44000244140625,139.22999572753906,139.5800018310547,7831400
135.97703552246094,139.97000122070312,140.05999755859375,138.97000122070312,139.88999938964844,6407400
134.7335662841797,138.69000244140625,140.67999267578125,138.6699981689453,140.33999633789062,9104900
134.52952575683594,138.47999572753906,138.50999450683594,137.2100067138672,138.1999969482422,10050200
135.2969970703125,139.27000427246094,139.55999755859375,138.9199981689453,139.44000244140625,5759100
136.24903869628906,140.25,140.25999450683594,139.30999755859375,139.39999389648438,6229600
136.55992126464844,140.57000732421875,140.82000732421875,139.80999755859375,140.47999572753906,5940300
136.37533569335938,140.3800048828125,141.75,140.35000610351562,141.63999938964844,10223100
