market_date,n_tweets,sentiment_mean
2020-07-08,10,0.24287543
2020-07-09,9,-0.01498778
2020-07-10,8,0.17315297
2020-07-11,2,0.83448464
2020-07-12,3,0.35131946
2020-07-13,8,0.4037299
2020-07-14,12,0.27006388
2020-07-15,15,-0.17745866
2020-07-16,8,-0.035374448
2020-07-17,10,-0.016181653
2020-07-19,2,-0.46462253
2020-07-20,8,-0.011608202
2020-07-21,7,0.27013415
2020-07-22,10,-0.035485484
2020-07-23,16,0.17360142
2020-07-24,8,0.08192977
2020-07-25,4,0.42173022
2020-07-26,3,0.41481745
2020-07-27,10,0.029603252
2020-07-28,14,0.05048853
2020-07-29,12,0.019684808
2020-07-30,11,0.2130587
2020-07-31,1,0.42780375
2020-08-02,5,0.16936687
2020-08-03,6,0.043669816
2020-08-04,14,0.13340382
2020-08-05,8,-0.14201708
2020-08-06,13,0.22792691
2020-08-07,12,0.2854903
2020-08-08,3,0.76127356
2020-08-09,4,0.31798494
2020-08-10,4,0.04939841
2020-08-11,9,-0.14257377
2020-08-12,7,-0.016593533
2020-08-13,8,0.017157122
2020-08-14,8,-0.12492345
2020-08-15,4,0.00822331
2020-08-17,11,-0.18818623
2020-08-18,6,0.11178353
2020-08-19,4,0.29938495
2020-08-20,6,-0.09790506
2020-08-21,7,0.11438393
2020-08-22,2,0.45434377
2020-08-23,1,0.083523996
2020-08-24,6,0.5219014
2020-08-25,12,0.37864876
2020-08-26,8,0.33885404
2020-08-27,11,0.13593525
2020-08-28,5,0.07126428
2020-08-29,2,0.29629183
2020-09-01,6,0.028668346
2020-09-02,6,0.22225262
2020-09-03,13,0.12821683
2020-09-04,9,0.25936604
2020-09-05,3,0.49511018
2020-09-06,5,0.42740536
2020-09-07,5,0.26241565
2020-09-08,8,0.24290618
2020-09-09,7,0.28268427
2020-09-10,11,0.18539713
2020-09-11,7,0.21903078
2020-09-12,1,-0.18206683
2020-09-13,3,0.46894613
2020-09-14,8,0.10241009
2020-09-15,9,0.214971
2020-09-16,16,0.09607041
2020-09-17,7,0.07616482
2020-09-18,9,0.2945358
2020-09-19,1,0.0785284
2020-09-20,3,0.18722527
2020-09-21,6,0.1544038
